1.263 0.653 -0.812 0.046 -0.049 2.028 2.654 2.471 3.531 4.268 4.095 4.166 4.056 1.902 1.522 -0.417 1.222 0.921 0.234 -1.543 0.385 2
0.423 -0.034 -0.607 0.909 -0.968 0.585 2.301 1.220 1.276 3.719 4.155 5.731 3.796 4.448 2.429 3.414 2.553 -1.092 -1.557 1.547 0.647 1
0.117 -1.035 0.220 0.141 -0.611 2.322 0.046 1.746 0.174 2.322 4.008 2.567 3.935 2.588 3.105 4.661 3.646 1.899 1.615 -0.265 0.580 3
-0.150 0.144 1.044 1.129 0.263 2.323 2.278 1.379 1.483 2.682 2.046 2.816 1.082 2.859 2.401 2.228 3.127 1.336 2.557 0.919 -0.236 3
-2.439 0.083 0.403 0.304 0.814 0.664 1.913 -0.561 0.328 2.684 1.505 2.524 1.143 3.957 5.408 5.781 6.606 3.244 4.380 3.206 -0.226 3
0.665 -0.711 -0.372 2.591 4.400 4.309 5.047 4.911 6.527 3.297 4.312 1.913 0.912 0.900 -0.755 -1.700 -1.939 -1.246 -0.032 1.032 0.306 2
-1.250 -3.070 0.270 -0.212 0.951 -0.294 2.051 1.063 0.842 -0.394 2.682 1.311 2.477 4.525 4.081 4.260 4.235 5.016 2.918 0.598 2.300 3
-0.126 1.711 -0.913 2.429 1.418 1.177 1.575 -0.005 2.897 0.756 2.031 2.153 3.169 4.290 3.510 5.517 3.548 3.243 2.568 3.483 0.945 1
0.846 -0.323 1.085 1.359 1.675 2.105 2.897 4.138 4.670 4.067 2.314 4.129 2.054 0.327 1.287 -0.296 0.113 -0.562 0.943 0.357 -0.332 2
0.459 -0.128 0.157 0.127 1.031 -1.400 -0.678 -0.839 0.557 2.717 4.397 3.598 4.186 3.317 2.865 4.373 4.531 1.441 1.663 0.458 0.077 1
-1.000 -0.700 -1.472 -0.267 -0.172 -0.699 -2.012 -0.125 0.386 1.898 1.791 3.605 5.141 4.806 5.256 6.148 5.878 1.382 1.883 -0.272 0.608 1
-1.949 -2.032 -1.833 -1.896 -0.720 0.058 1.808 0.466 0.557 1.971 1.381 2.677 3.603 4.449 5.147 5.876 4.782 2.931 2.392 2.233 1.768 1
0.184 2.169 1.084 2.020 3.726 2.755 6.040 6.062 5.835 3.737 2.501 2.635 2.183 -0.079 0.621 1.388 -0.922 2.641 -0.477 0.607 -1.314 3
-0.735 -0.631 -0.846 -0.319 1.188 -0.238 1.300 2.810 4.244 5.087 4.841 5.380 6.044 1.797 4.289 1.861 2.278 0.257 0.050 0.059 -0.500 2
-1.076 0.325 0.373 1.295 0.564 2.574 2.649 3.548 4.441 5.267 4.091 2.480 3.567 1.616 1.379 1.888 1.024 0.219 -0.275 -0.657 -0.569 2
-0.563 -1.826 1.049 -0.534 1.809 -1.602 -0.129 1.789 2.583 2.771 4.037 7.257 4.927 2.974 4.577 4.004 2.151 1.046 0.650 -0.133 1.174 1
1.688 0.131 1.650 2.277 4.559 3.112 4.301 4.622 4.769 2.675 1.493 1.794 2.187 -1.047 1.732 0.871 0.678 2.049 0.823 -0.798 0.936 2
-1.201 -0.168 0.484 0.221 -0.312 0.820 0.823 5.349 1.734 2.628 0.244 1.653 1.318 2.002 3.613 2.287 2.243 2.820 -0.255 3.229 0.956 3
0.106 1.136 -0.776 -0.238 -0.931 1.544 -0.342 1.378 1.097 1.684 4.275 3.803 4.427 4.818 3.321 4.964 2.398 1.686 1.983 0.944 1.105 1
0.086 -0.918 1.457 1.117 -0.698 1.223 2.892 3.664 2.304 3.066 4.296 5.586 2.742 3.966 1.871 1.631 0.394 1.525 -0.819 -0.198 -1.067 2
